run_id,scenario,loss_percent,truth_count,detector_alerts,zeek_alerts,suricata_alerts,detector_recall_pct,zeek_recall_pct,suricata_recall_pct
20260428T053519Z,reliability-arp-mitm-dns,80,9,2,2,2,22.222,22.222,22.222
20260428T053720Z,reliability-arp-mitm-dns,80,9,3,3,3,33.333,33.333,33.333
20260428T053922Z,reliability-arp-mitm-dns,80,9,0,1,1,0.000,11.111,11.111
20260428T054123Z,reliability-arp-mitm-dns,80,9,3,3,3,33.333,33.333,33.333
20260428T054325Z,reliability-arp-mitm-dns,80,9,2,2,2,22.222,22.222,22.222
20260428T054525Z,reliability-arp-mitm-dns,80,9,2,2,2,22.222,22.222,22.222
20260428T054726Z,reliability-arp-mitm-dns,80,9,1,3,3,11.111,33.333,33.333
20260428T054927Z,reliability-arp-mitm-dns,80,9,2,2,2,22.222,22.222,22.222
20260428T122805Z,reliability-arp-mitm-dns,80,9,1,1,1,11.111,11.111,11.111
20260428T123004Z,reliability-arp-mitm-dns,80,9,1,1,1,11.111,11.111,11.111
20260428T123206Z,reliability-arp-mitm-dns,80,8,1,1,1,12.500,12.500,12.500
20260428T020506Z,reliability-arp-mitm-dns,90,8,1,1,1,12.500,12.500,12.500
20260428T020706Z,reliability-arp-mitm-dns,90,9,0,0,0,0.000,0.000,0.000
20260428T020908Z,reliability-arp-mitm-dns,90,9,1,1,1,11.111,11.111,11.111
20260428T055129Z,reliability-arp-mitm-dns,90,9,2,2,2,22.222,22.222,22.222
20260428T055329Z,reliability-arp-mitm-dns,90,9,1,2,2,11.111,22.222,22.222
20260428T055532Z,reliability-arp-mitm-dns,90,9,0,0,0,0.000,0.000,0.000
20260428T055727Z,reliability-arp-mitm-dns,90,9,2,2,2,22.222,22.222,22.222
20260428T055930Z,reliability-arp-mitm-dns,90,9,0,1,1,0.000,11.111,11.111
20260428T060131Z,reliability-arp-mitm-dns,90,9,0,0,0,0.000,0.000,0.000
20260428T060333Z,reliability-arp-mitm-dns,90,9,1,1,1,11.111,11.111,11.111
20260428T060535Z,reliability-arp-mitm-dns,90,9,0,0,0,0.000,0.000,0.000
20260428T060736Z,reliability-arp-mitm-dns,90,9,0,1,1,0.000,11.111,11.111
20260428T123407Z,reliability-arp-mitm-dns,90,9,0,1,1,0.000,11.111,11.111
20260428T123609Z,reliability-arp-mitm-dns,90,9,1,1,1,11.111,11.111,11.111
20260428T123810Z,reliability-arp-mitm-dns,90,9,0,0,0,0.000,0.000,0.000
20260428T021109Z,reliability-arp-mitm-dns,100,9,0,0,0,0.000,0.000,0.000
20260428T021311Z,reliability-arp-mitm-dns,100,9,0,0,0,0.000,0.000,0.000
20260428T021512Z,reliability-arp-mitm-dns,100,9,0,0,0,0.000,0.000,0.000
20260428T060937Z,reliability-arp-mitm-dns,100,9,0,0,0,0.000,0.000,0.000
20260428T061139Z,reliability-arp-mitm-dns,100,9,0,0,0,0.000,0.000,0.000
20260428T061340Z,reliability-arp-mitm-dns,100,9,0,0,0,0.000,0.000,0.000
20260428T061542Z,reliability-arp-mitm-dns,100,9,0,0,0,0.000,0.000,0.000
20260428T061744Z,reliability-arp-mitm-dns,100,9,0,0,0,0.000,0.000,0.000
20260428T061947Z,reliability-arp-mitm-dns,100,9,0,0,0,0.000,0.000,0.000
20260428T062151Z,reliability-arp-mitm-dns,100,9,0,0,0,0.000,0.000,0.000
20260428T062352Z,reliability-arp-mitm-dns,100,9,0,0,0,0.000,0.000,0.000
20260428T062553Z,reliability-arp-mitm-dns,100,8,0,0,0,0.000,0.000,0.000
20260428T124011Z,reliability-arp-mitm-dns,100,9,0,0,0,0.000,0.000,0.000
20260428T124212Z,reliability-arp-mitm-dns,100,9,0,0,0,0.000,0.000,0.000
20260428T124405Z,reliability-arp-mitm-dns,100,9,0,0,0,0.000,0.000,0.000
20260428T021711Z,reliability-dhcp-spoof,0,16,16,16,16,100.000,100.000,100.000
20260428T021901Z,reliability-dhcp-spoof,0,16,16,16,16,100.000,100.000,100.000
20260428T022051Z,reliability-dhcp-spoof,0,16,16,16,16,100.000,100.000,100.000
20260428T062754Z,reliability-dhcp-spoof,0,16,16,16,16,100.000,100.000,100.000
20260428T062946Z,reliability-dhcp-spoof,0,16,16,16,16,100.000,100.000,100.000
20260428T063136Z,reliability-dhcp-spoof,0,16,16,16,16,100.000,100.000,100.000
20260428T063327Z,reliability-dhcp-spoof,0,16,16,16,16,100.000,100.000,100.000
20260428T063519Z,reliability-dhcp-spoof,0,16,16,16,16,100.000,100.000,100.000
20260428T063710Z,reliability-dhcp-spoof,0,16,16,16,16,100.000,100.000,100.000
20260428T063901Z,reliability-dhcp-spoof,0,16,16,16,16,100.000,100.000,100.000
20260428T064053Z,reliability-dhcp-spoof,0,16,16,16,16,100.000,100.000,100.000
20260428T064244Z,reliability-dhcp-spoof,0,16,16,16,16,100.000,100.000,100.000
20260428T093135Z,reliability-dhcp-spoof,0,16,16,16,16,100.000,100.000,100.000
20260428T093328Z,reliability-dhcp-spoof,0,16,16,16,16,100.000,100.000,100.000
20260428T093520Z,reliability-dhcp-spoof,0,16,16,16,16,100.000,100.000,100.000
20260428T022242Z,reliability-dhcp-spoof,10,16,14,14,14,87.500,87.500,87.500
20260428T022433Z,reliability-dhcp-spoof,10,16,12,12,12,75.000,75.000,75.000
20260428T022625Z,reliability-dhcp-spoof,10,16,15,15,15,93.750,93.750,93.750
20260428T064434Z,reliability-dhcp-spoof,10,16,14,14,14,87.500,87.500,87.500
20260428T064625Z,reliability-dhcp-spoof,10,16,13,13,13,81.250,81.250,81.250
20260428T064816Z,reliability-dhcp-spoof,10,16,15,15,15,93.750,93.750,93.750
20260428T065006Z,reliability-dhcp-spoof,10,16,15,15,15,93.750,93.750,93.750
20260428T065158Z,reliability-dhcp-spoof,10,16,14,14,14,87.500,87.500,87.500
20260428T065348Z,reliability-dhcp-spoof,10,16,14,14,14,87.500,87.500,87.500
20260428T065538Z,reliability-dhcp-spoof,10,16,15,15,15,93.750,93.750,93.750
20260428T065729Z,reliability-dhcp-spoof,10,16,13,13,13,81.250,81.250,81.250
20260428T065919Z,reliability-dhcp-spoof,10,16,16,16,16,100.000,100.000,100.000
20260428T093710Z,reliability-dhcp-spoof,10,16,14,14,14,87.500,87.500,87.500
20260428T093902Z,reliability-dhcp-spoof,10,16,14,14,14,87.500,87.500,87.500
20260428T094053Z,reliability-dhcp-spoof,10,16,16,16,16,100.000,100.000,100.000
20260428T022817Z,reliability-dhcp-spoof,20,16,13,13,13,81.250,81.250,81.250
20260428T023010Z,reliability-dhcp-spoof,20,16,10,10,10,62.500,62.500,62.500
20260428T023204Z,reliability-dhcp-spoof,20,16,16,16,16,100.000,100.000,100.000
20260428T070109Z,reliability-dhcp-spoof,20,16,15,15,15,93.750,93.750,93.750
20260428T070300Z,reliability-dhcp-spoof,20,16,12,12,12,75.000,75.000,75.000
20260428T070450Z,reliability-dhcp-spoof,20,16,14,14,14,87.500,87.500,87.500
20260428T070641Z,reliability-dhcp-spoof,20,16,12,12,12,75.000,75.000,75.000
20260428T070832Z,reliability-dhcp-spoof,20,16,14,14,14,87.500,87.500,87.500
20260428T071023Z,reliability-dhcp-spoof,20,16,14,14,14,87.500,87.500,87.500
20260428T071215Z,reliability-dhcp-spoof,20,16,16,16,16,100.000,100.000,100.000
20260428T071405Z,reliability-dhcp-spoof,20,16,10,10,10,62.500,62.500,62.500
20260428T071555Z,reliability-dhcp-spoof,20,16,10,10,10,62.500,62.500,62.500
20260428T094245Z,reliability-dhcp-spoof,20,16,11,11,11,68.750,68.750,68.750
20260428T094435Z,reliability-dhcp-spoof,20,16,13,13,13,81.250,81.250,81.250
20260428T094626Z,reliability-dhcp-spoof,20,16,14,14,14,87.500,87.500,87.500
20260428T023356Z,reliability-dhcp-spoof,30,16,13,13,13,81.250,81.250,81.250
20260428T023547Z,reliability-dhcp-spoof,30,16,7,7,7,43.750,43.750,43.750
20260428T023738Z,reliability-dhcp-spoof,30,16,9,9,9,56.250,56.250,56.250
20260428T071747Z,reliability-dhcp-spoof,30,16,13,13,13,81.250,81.250,81.250
20260428T071937Z,reliability-dhcp-spoof,30,16,12,12,12,75.000,75.000,75.000
20260428T072128Z,reliability-dhcp-spoof,30,16,13,13,13,81.250,81.250,81.250
20260428T072320Z,reliability-dhcp-spoof,30,16,9,9,9,56.250,56.250,56.250
20260428T072511Z,reliability-dhcp-spoof,30,16,12,12,12,75.000,75.000,75.000
20260428T072702Z,reliability-dhcp-spoof,30,16,9,9,9,56.250,56.250,56.250
20260428T072852Z,reliability-dhcp-spoof,30,16,14,14,14,87.500,87.500,87.500
20260428T073043Z,reliability-dhcp-spoof,30,16,13,13,13,81.250,81.250,81.250
20260428T073233Z,reliability-dhcp-spoof,30,16,9,9,9,56.250,56.250,56.250
20260428T094818Z,reliability-dhcp-spoof,30,16,11,11,11,68.750,68.750,68.750
20260428T095009Z,reliability-dhcp-spoof,30,16,12,12,12,75.000,75.000,75.000
20260428T095200Z,reliability-dhcp-spoof,30,16,8,8,8,50.000,50.000,50.000
20260428T023929Z,reliability-dhcp-spoof,40,16,10,10,10,62.500,62.500,62.500
20260428T024121Z,reliability-dhcp-spoof,40,16,10,10,10,62.500,62.500,62.500
20260428T024314Z,reliability-dhcp-spoof,40,16,13,13,13,81.250,81.250,81.250
20260428T073423Z,reliability-dhcp-spoof,40,16,9,9,9,56.250,56.250,56.250
20260428T073615Z,reliability-dhcp-spoof,40,16,10,10,10,62.500,62.500,62.500
20260428T073806Z,reliability-dhcp-spoof,40,16,8,8,8,50.000,50.000,50.000
20260428T073958Z,reliability-dhcp-spoof,40,16,10,10,10,62.500,62.500,62.500
20260428T074150Z,reliability-dhcp-spoof,40,16,10,10,10,62.500,62.500,62.500
20260428T074340Z,reliability-dhcp-spoof,40,16,11,11,11,68.750,68.750,68.750
20260428T074531Z,reliability-dhcp-spoof,40,16,10,10,10,62.500,62.500,62.500
20260428T074722Z,reliability-dhcp-spoof,40,16,10,10,10,62.500,62.500,62.500
20260428T074913Z,reliability-dhcp-spoof,40,16,10,10,10,62.500,62.500,62.500
20260428T095351Z,reliability-dhcp-spoof,40,16,7,7,7,43.750,43.750,43.750
20260428T095541Z,reliability-dhcp-spoof,40,16,8,8,8,50.000,50.000,50.000
20260428T095733Z,reliability-dhcp-spoof,40,16,10,10,10,62.500,62.500,62.500
20260428T024506Z,reliability-dhcp-spoof,50,16,8,8,8,50.000,50.000,50.000
20260428T024713Z,reliability-dhcp-spoof,50,16,5,5,5,31.250,31.250,31.250
20260428T024920Z,reliability-dhcp-spoof,50,16,8,8,8,50.000,50.000,50.000
20260428T075103Z,reliability-dhcp-spoof,50,16,9,9,9,56.250,56.250,56.250
20260428T075254Z,reliability-dhcp-spoof,50,16,6,6,6,37.500,37.500,37.500
20260428T075445Z,reliability-dhcp-spoof,50,16,7,7,7,43.750,43.750,43.750
20260428T075637Z,reliability-dhcp-spoof,50,16,6,6,6,37.500,37.500,37.500
20260428T075827Z,reliability-dhcp-spoof,50,16,6,6,6,37.500,37.500,37.500
20260428T080018Z,reliability-dhcp-spoof,50,16,6,6,6,37.500,37.500,37.500
20260428T080211Z,reliability-dhcp-spoof,50,16,5,5,5,31.250,31.250,31.250
20260428T080403Z,reliability-dhcp-spoof,50,16,6,6,6,37.500,37.500,37.500
20260428T080553Z,reliability-dhcp-spoof,50,16,9,9,9,56.250,56.250,56.250
20260428T095925Z,reliability-dhcp-spoof,50,16,9,9,9,56.250,56.250,56.250
20260428T100116Z,reliability-dhcp-spoof,50,16,5,5,5,31.250,31.250,31.250
